Assassin's Apprentice,Robin Hobb,400,,,FICTION_FANTASY_EPIC,FIC009020
Attack of the Jazz Giants : And Other Stories,"Gregory Frost, Karen Joy Fowler and John Kessel",320,,,"FICTION_FANTASY_GENERAL , FICTION_SHORT STORIES (single author)","FIC009000 , FIC029000"
Automatic Detective,A. Lee Martinez,320,,,"FICTION_MYSTERY & DETECTIVE_GENERAL , FICTION_SCIENCE FICTION_ADVENTURE , MISSING PERSONS_FICTION","FIC028010 , FIC022000"
Babylon Steel,Gaie Sebold,544,,,"MISSING PERSONS_FICTION , FICTION_ACTION & ADVENTURE",FIC002000
Bad Day for Ali Baba,Craig S. Gardner,256,,,FICTION_SCIENCE FICTION_GENERAL,FIC028000
Bad Prince Charlie,John Moore,240,,,FICTION_SCIENCE FICTION_GENERAL,FIC028000
Bayou Moon,Ilona Andrews,480,,,FICTION_ROMANCE_PARANORMAL,FIC027120
Bear Daughter,Judith Berman,432,,,FICTION_FANTASY_GENERAL,FIC009000
Bearing an Hourglass,Piers Anthony,384,,,FICTION_FANTASY_GENERAL,FIC009000
Best of Cordwainer Smith,Cordwainer Smith,,,,,
Beyond the Blue Moon,Simon R. Green,416,,,"FICTION_FANTASY_GENERAL , FOREST KINGDOM (IMAGINARY PLACE : GREEN)_FICTION",FIC009000
Bikini Planet,David Garnett,288,,,FICTION_SCIENCE FICTION_GENERAL,FIC028000
Bindings,,,,,,
Bird of the River,Kage Baker,272,,,FICTION_FANTASY_GENERAL,FIC009000
Blackbirds,Chuck Wendig,416,16.99,AUD,"FICTION_FANTASY_PARANORMAL , FICTION_SUSPENSE , FICTION_THRILLERS","FIC009050 , FIC031000 , FIC030000"
Black Blade Blues,J. A. Pitts,400,,,FICTION_FANTASY_GENERAL,FIC009000
Blackcollar,Timothy Zahn,608,,,FICTION_SCIENCE FICTION_GENERAL,FIC028000
"Black Dawn, Bright Day : Indian Prophecies for the Millennium That Reveal the Fate of the Earth",Sun Bear and Wabun Wind,256,39.99,AUD,"NEW AGE MOVEMENT , PROPHECIES (OCCULTISM)","OCC020000 , OCC000000"
Black Hand Gang,Pat Kelleher,320,,,"WORLD WAR, 1914-1918_FICTION , FICTION_SCIENCE FICTION_ADVENTURE","FIC028010 , FIC032000"
Black Magic Sanction,Kim Harrison,400,,,"FICTION_FANTASY_CONTEMPORARY , FICTION_ROMANCE_PARANORMAL , VAMPIRES_FICTION , CINCINNATI (OHIO)_FICTION , FICTION_OCCULT & SUPERNATURAL","FIC009010 , FIC027120 , FIC024000"
Blackout,Rob Thurman,352,,,"FICTION_MYSTERY & DETECTIVE_GENERAL , FICTION_FANTASY_PARANORMAL , PRIVATE INVESTIGATORS_FICTION","FIC009050 , FIC022000 , FIC022090"
Black Phoenix,George Bernau,304,,,"FICTION_WAR & MILITARY , FICTION_ESPIONAGE , BERLIN (GERMANY)_FICTION , BUENOS AIRES (ARGENTINA)_FICTION , GERMANY_FICTION","FIC006000 , FIC032000"
Black Wings,Christina Henry,304,,,FICTION_FANTASY_GENERAL,FIC009000
Blake : 16 Art Stickers,William Blake,4,,,"ART, MODERN_17TH-18TH CENTURIES , TOY AND MOVABLE BOOKS",ART015000
Blameless,Gail Carriger,384,,,"LONDON (ENGLAND)_FICTION , VAMPIRES_FICTION , FICTION_FANTASY_PARANORMAL","FIC009050 , FIC024000"
Bleak History,John Shirley,384,,,FICTION_FANTASY_GENERAL,FIC009000
Bloodcircle No. 3,P. N. Elrod,208,6.5,CND,"FICTION_MYSTERY & DETECTIVE_GENERAL , VAMPIRES_FICTION , FICTION_HORROR , FLEMING, JACK (FICTITIOUS CHARACTER)_FICTION , PRIVATE INVESTIGATORS_FICTION , CHICAGO (ILL.)_FICTION , ILLINOIS_FICTION","FIC022000 , FIC015000 , FIC022090 , FIC024000"
Blood Cross,Faith Hunter,336,,,"FICTION_FANTASY_GENERAL , VAMPIRES_FICTION","FIC009000 , FIC024000"
Bloodlist,P. N. Elrod,160,,,"FICTION_MYSTERY & DETECTIVE_GENERAL , VAMPIRES_FICTION , FICTION_HORROR , FLEMING, JACK (FICTITIOUS CHARACTER)_FICTION , PRIVATE INVESTIGATORS_FICTION , CHICAGO (ILL.)_FICTION , ILLINOIS_FICTION","FIC022000 , FIC015000 , FIC022090 , FIC024000"
Blood on the Water,P. N. Elrod,208,5.99,CND,"FICTION_MYSTERY & DETECTIVE_GENERAL , VAMPIRES_FICTION , FICTION_HORROR , FLEMING, JACK (FICTITIOUS CHARACTER)_FICTION , PRIVATE INVESTIGATORS_FICTION , CHICAGO (ILL.)_FICTION , ILLINOIS_FICTION","FIC022000 , FIC015000 , FIC022090 , FIC024000"
Bloodring,Faith Hunter,352,,,FICTION_FANTASY_GENERAL,FIC009000
Blood Sucker,Saki Okuse,192,,,"COMICS & GRAPHIC NOVELS_MANGA_HORROR , VAMPIRES_FICTION","CGN004150 , FIC024000"
Blue-Haired Bombshell,John Zakour,368,,,"FICTION_SCIENCE FICTION_GENERAL , FICTION_MYSTERY & DETECTIVE_GENERAL , PRIVATE INVESTIGATORS_FICTION","FIC028000 , FIC022000 , FIC022090"
Bone Crossed,Patricia Briggs,304,,,"FICTION_FANTASY_PARANORMAL , VAMPIRES_FICTION , FICTION_OCCULT & SUPERNATURAL , WASHINGTON (STATE)_FICTION","FIC009050 , FIC024000"
Bone Walker,Kathleen O'Neal Gear,,16.45,USD,"FICTION_MYSTERY & DETECTIVE_GENERAL , NEW MEXICO_FICTION , ARCHAEOLOGISTS_FICTION",FIC022000
Book of the Vision Quest : Personal Transformation in the Wilderness,Steven Foster and Meredith Little,188,,,"SPIRITUAL LIFE , RITES AND CEREMONIES , VISION QUESTS","SEL032000 , REL062000 , SOC005000"
Books of Magic,Neil Gaiman,200,,,COMICS & GRAPHIC NOVELS_FANTASY,CGN004030
Border,Marina Fitch,1,,,FICTION_FANTASY_CONTEMPORARY,FIC009010
Brilliance of the Moon,Lian Hearn,"xiv, 401",29.99,AUD,"FICTION , MARRIED PEOPLE_FICTION , JAPAN_FICTION , FICTION_HISTORICAL , FICTION_ACTION & ADVENTURE","FIC014000 , FIC002000 , FIC000000"
Bring It On,Laura Anne Gilman,516,,,"MAN-WOMAN RELATIONSHIPS_FICTION , FICTION_ROMANCE_FANTASY , NEW YORK (N.Y.)_FICTION",FIC027030
Brother's Price,Wen Spencer,320,9.99,CND,FICTION_SCIENCE FICTION_GENERAL,FIC028000
Calculus of Angels,J. Gregory Keyes,416,,,"FICTION_FANTASY_HISTORICAL , FRANKLIN, BENJAMIN, 1706-1790_FICTION , EUROPE_FICTION","FIC009030 , FIC041000"
Calculus : Single Variable,Einar Hille and S. L. Salas,800,76.95,CND,CALCULUS,MAT005000
Call of the Great Spirit : The Shamanic Life and Teachings of Medicine Grizzly Bear,Bobby Lake-Thom and Thom Lake,256,,,SHAMANISM,OCC036030
Capacity,Tony Ballantyne,416,,,FICTION_SCIENCE FICTION_HIGH TECH,FIC028020
Cape Storm,Rachel Caine,384,,,FICTION_FANTASY_GENERAL,FIC009000
"Captains Outrageous : Or, for Doom the Bell Tolls",Roy V. Young,314,,,,
Carlucci's Heart,Richard Paul Russo,400,,,FICTION_GENERAL,FIC000000
Cats Are Not Peas : A Calico History of Genetics,Laura L. Gould,228,,,"CAT BREEDS , ANIMAL GENETICS","SCI029000 , PET003010"
Cat's Cradle,Kurt Vonnegut,192,,,"AMERICAN FICTION (FICTIONAL WORKS BY ONE AUTHOR) , FICTION_HUMOROUS , FICTION_SCIENCE FICTION_GENERAL","FIC019000 , FIC028000 , FIC016000"
Cats Have No Lord,Will Shetterly,208,3.75,CND,FICTION_SCIENCE FICTION_GENERAL,FIC028000
Cats in Space... and Other Places,Bill Fawcett,416,,,FICTION_SCIENCE FICTION_GENERAL,FIC028000
Cat's Pawn,Leslie Gadallah,,,,FICTION_GENERAL,FIC000000
Catswold Portal,Shirley Rousseau Murphy,432,,,"FICTION_SCIENCE FICTION_GENERAL , FICTION_FANTASY_GENERAL","FIC028000 , FIC009000"
Changeless,Gail Carriger,400,,,"FICTION_FANTASY_HISTORICAL , LONDON (ENGLAND)_FICTION , FICTION_ROMANCE_FANTASY","FIC009030 , FIC027030"
Changeling,Yasmine Galenorn,304,,,"FICTION_OCCULT & SUPERNATURAL , FICTION_ROMANCE_PARANORMAL","FIC027120 , FIC024000"
Changes,Jim Butcher,448,,,"FICTION_FANTASY_PARANORMAL , CHICAGO (ILL.)_FICTION , PRIVATE INVESTIGATORS_FICTION , FICTION_OCCULT & SUPERNATURAL","FIC009050 , FIC022090 , FIC024000"
Child of a Rainless Year,Jane Lindskold,400,,,FICTION_FANTASY_GENERAL,FIC009000
Child of Fortune,Norman Spinrad,512,4.95,CND,FICTION_SCIENCE FICTION_GENERAL,FIC028000
Children of the Night,Mercedes Lackey,320,,,"TREGARDE, DIANA (FICTITIOUS CHARACTER)_FICTION , VAMPIRES_FICTION , DALLAS (TEX.)_FICTION , TEXAS_FICTION , FICTION_HORROR","FIC015000 , FIC024000"
Chill Factor,Rachel Caine,,,,FICTION_OCCULT & SUPERNATURAL,FIC024000
China Mountain Zhang,Maureen F. McHugh,320,,,"FICTION_SCIENCE FICTION_GENERAL , FICTION_GAY","FIC028000 , FIC011000"
"Chinese Way to a Long and Healthy Life - Diet, Exercise, Massage",,,11.6,GBP,,
Circuit of Heaven,Dennis Danvers,384,,,"FICTION_SCIENCE FICTION_HIGH TECH , FICTION_SCIENCE FICTION_GENERAL","FIC028000 , FIC028020"
City of Saints and Madmen,Jeff VanderMeer,704,,,FICTION_FANTASY_GENERAL,FIC009000
Claimed by Shadow,Karen Chance,384,,,FICTION_FANTASY_GENERAL,FIC009000
"Common Lisp : Common Lisp Object System, Symbolicweb, Common Lisp Interface Manager, Weblocks, Format, Uncommon Web, Clx, Abcl-Web",,60,28.34,AUD,,
Compleat Werewolf,Anthony Boucher,256,5.75,CND,FICTION_GENERAL,FIC000000
Computer Architecture : A Quantitative Approach,John L. Hennessy and David A. Patterson,1136,,,"COMPUTER ARCHITECTURE , ELECTRONIC DIGITAL COMPUTERS_DESIGN AND CONSTRUCTION","COM011000 , TEC008060"
Coraline,Neil Gaiman,176,,,"CHILDREN'S FICTION , SUPERNATURAL_FICTION , HORROR STORIES","JUV058000 , JUV018000 , JUV000000"
Cosmic Banditos,A. C. Weisbecker,224,,,"FICTION_HUMOROUS , FICTION_ACTION & ADVENTURE","FIC002000 , FIC016000"
Cowboy Feng's Space Bar and Grille,Steven Brust,,4.95,CND,FICTION_FANTASY_GENERAL,FIC009000
Coyote Dreams,C. E. Murphy,,,,"FICTION_ROMANCE_FANTASY , FICTION_FANTASY_CONTEMPORARY , SEATTLE (WASH.)_FICTION","FIC009010 , FIC027030"
Crawlers,John Shirley,400,,,"FICTION_OCCULT & SUPERNATURAL , FICTION_HORROR , FICTION_THRILLERS","FIC031000 , FIC015000 , FIC024000"
C Reference Manual (German),HARBISON STEELE,,10.95,GBP,,
Crimson Rogue,Liz Maverick,336,,,FICTION_ROMANCE_SUSPENSE,FIC027110
Crystal Power,Michael G. Smith and Christine Snow,,14.5,CND,OCCULTISM,OCC016000
Cunningham Equations,G. C. Edmondson and C. M. Kotlan,288,,,FICTION_SCIENCE FICTION_GENERAL,FIC028000
"Cunningham's Encyclopedia of Crystal, Gem and Metal Magic",Scott Cunningham,288,,,"CRYSTALS_FOLKLORE , GEMS_FOLKLORE",SOC011000
Curing Everyday Ailments the Natural Way,Reader's Digest Staff,2384,59.95,AUD,,
Cursed,Benedict Jacka,336,,,FICTION_FANTASY_GENERAL,FIC009000
Daemon Eyes,Camille Bacon-Smith,608,,,FICTION_FANTASY_GENERAL,FIC009000
Dancing on the Head of a Pin,Thomas E. Sniegoski,304,,,"FICTION_FANTASY_GENERAL , FICTION_SCIENCE FICTION_GENERAL","FIC028000 , FIC009000"
Dangerous Visions,Harlan Ellison,656,,,FICTION_SCIENCE FICTION_SHORT STORIES,FIC028040
Dante Valentine,Lilith Saintcrow,1296,,,"VALENTINE, DAN (FICTITIOUS CHARACTER)_FICTION , FICTION_OCCULT & SUPERNATURAL , FICTION_HORROR","FIC015000 , FIC024000"
Darkling,Yasmine Galenorn,304,,,"FICTION_ROMANCE_PARANORMAL , VAMPIRES_FICTION , SEATTLE (WASH.)_FICTION , SISTERS_FICTION","FIC027120 , FIC024000"
Dark Watcher,Lilith Saintcrow,,7.5,GBP,"FICTION_FANTASY_GENERAL , FICTION_ROMANCE_GENERAL","FIC027000 , FIC009000"
Darkworld Detective,Michael Reaves and Copyright Paperback Collection (Library of Congress) Staff,257,,,,
Daughter of Hounds,Caitlín R. Kiernan,416,,,"FICTION_FANTASY_GENERAL , FICTION_OCCULT & SUPERNATURAL , NEW ENGLAND_FICTION","FIC009000 , FIC024000"
Daughter of the Blood,Anne Bishop,368,20.99,AUD,"FICTION , SCIENCE FICTION, FANTASY, HORROR , FICTION_FANTASY_GENERAL , TERREILLE (IMAGINARY PLACE)_FICTION , JAENELLE (FICTITIOUS CHARACTER)_FICTION","FIC028000 , FIC000000 , FIC009000"
Dawnthief,James Barclay,570,,,FICTION_SCIENCE FICTION_GENERAL,FIC028000
Daybreak : The Dawning Ember,Mary Summer Rain,624,,,FICTION_GENERAL,FIC000000
Deader Still,Anton Strout,368,,,"FICTION_FANTASY_GENERAL , FICTION_ACTION & ADVENTURE","FIC002000 , FIC009000"
Dead Funny,Tom Holt,570,,,"FICTION_FANTASY_GENERAL , FICTION_HUMOROUS","FIC009000 , FIC016000"
Dead Matter,M. K. Wren,283,,,"FICTION_MYSTERY & DETECTIVE_GENERAL , FLAGG, CONAN (FICTITIOUS CHARACTER)_FICTION , BOOKSELLERS AND BOOKSELLING_FICTION , OREGON_FICTION",FIC022000
Dead Men's Boots,Mike Carey,544,,,"FICTION_OCCULT & SUPERNATURAL , ENGLAND_FICTION",FIC024000
Dead Waters,Anton Strout,352,,,"FICTION_FANTASY_GENERAL , FICTION_MYSTERY & DETECTIVE_GENERAL , NEW YORK (N.Y.)_FICTION","FIC022000 , FIC009000"
Debatable Space,Philip Palmer,480,,,"FICTION_SCIENCE FICTION_ADVENTURE , FICTION_SCIENCE FICTION_SPACE OPERA","FIC028010 , FIC028030"
Deep Future,Stephen Baxter,224,,,"COSMOLOGY , TWENTY-FIRST CENTURY","SCI015000 , SOC037000"
Deep Wizardry,Diane Duane,256,,,,
Deja Demon : The Days and Nights of a Demon-Hunting Soccer Mom,Julie Kenner,336,,,"FICTION_OCCULT & SUPERNATURAL , FICTION_HUMOROUS , CALIFORNIA_FICTION","FIC016000 , FIC024000"
Deliverance : Mortal Path Book Three,Dakota Banks,304,,,"CRIMINALS_FICTION , FICTION_SUSPENSE","FIC030000 , FIC050000"
Demon Bound,Caitlin Kittredge,352,,,"FICTION_FANTASY_GENERAL , FICTION_URBAN LIFE , LONDON (ENGLAND)_FICTION , FICTION_ACTION & ADVENTURE","FIC002000 , FIC009000 , FIC048000"
Demon Hunts,C. E. Murphy,368,17.95,CND,"FICTION_FANTASY_GENERAL , CRIMINALS_FICTION , FICTION_MYSTERY & DETECTIVE_POLICE PROCEDURAL , SEATTLE (WASH.)_FICTION , POLICEWOMEN_FICTION , SERIAL MURDERS_FICTION","FIC022040 , FIC009000 , FIC022020 , FIC050000"
Demon's Librarian,Lilith Saintcrow,220,8.5,GBP,"FICTION_FANTASY_GENERAL , FICTION_HORROR","FIC015000 , FIC009000"
Demonstorm,James Barclay,448,,,FICTION_FANTASY_GENERAL,FIC009000
Desert Wildlife,Edmund C. Jaeger,320,,,"DESERT ANIMALS , ANIMAL BEHAVIOR , ZOOLOGY_MEXICO , ZOOLOGY_UNITED STATES","NAT037000 , SCI070000"
Devil in the Details,K. A. Stewart,320,,,FICTION_FANTASY_GENERAL,FIC009000
"Diamond Age : Or, a Young Lady's Illustrated Primer",Neal Stephenson,512,,,FICTION_SCIENCE FICTION_GENERAL,FIC028000
Digital Knight,James Baen and Ryk E. Spoor,384,,,FICTION_FANTASY_GENERAL,FIC009000
Divine Misfortune,A. Lee Martinez,336,,,FICTION_HUMOROUS,FIC016000
Dog Called Demolition,Robert Rankin,256,,,FICTION_SCIENCE FICTION_GENERAL,FIC028000
Don't Push the River,Barry Stevens,280,,,CONDUCT OF LIFE,SEL000000
Down among the Dead Men,Simon R. Green,224,,,"FICTION_FANTASY_GENERAL , FOREST KINGDOM (IMAGINARY PLACE : GREEN)_FICTION",FIC009000
Dragon and Soldier,Timothy Zahn,304,,,FICTION_FANTASY_GENERAL,FIC009000
Dragon Blood,Patricia Briggs,288,,,FICTION_GENERAL,FIC000000
Dragon Bones,Patricia Briggs,304,,,FICTION_SCIENCE FICTION_GENERAL,FIC028000
Dragonfly Falling,Adrian Tchaikovsky,467,,,FICTION_FANTASY_GENERAL,FIC009000
Dragon in Chains,Daniel Fox,416,,,FICTION_FANTASY_GENERAL,FIC009000
Dragonne's Eg,Mary Brown,320,,,FICTION_FANTASY_EPIC,FIC009020
Dragons of Eden : Speculations on the Evolution of Human Intelligence,Carl Sagan,288,,,"FICTION_SCIENCE FICTION_GENERAL , INTELLECT , BRAIN , GENETIC PSYCHOLOGY","SCI029000 , FIC028000 , PSY000000 , MED057000"
Drawing of the Dark,Tim Powers,,,,"FICTION_FANTASY_EPIC , VIENNA (AUSTRIA)_FICTION , AUSTRIA_FICTION",FIC009020
Draw One in the Dark,Sarah A. Hoyt,320,,,FICTION_FANTASY_GENERAL,FIC009000
Dreamcatcher,,150,,,,
Dreamwalker : The Path of Sacred Power,Mary Summer Rain,240,,,SPIRITUAL LIFE,REL062000
Dr. Ecco's Cyberpuzzles : 36 Puzzles for Hackers and Other Mathematical Detectives,Dennis E. Shasha,256,,,MATHEMATICAL RECREATIONS,MAT025000
Dying Bites : The Bloodhound Files,D. D. Barant,320,,,FICTION_MYSTERY & DETECTIVE_GENERAL,FIC022000
Earl Mindell's Herb Bible,Earl Mindell,304,,,"HERBS , HERBS_THERAPEUTIC USE","HEA011000 , GAR009000"
"Ear, the Eye, and the Arm",Nancy Farmer,295,,,"CHILDREN'S FICTION , ADVENTURE AND ADVENTURERS_FICTION","JUV001000 , JUV000000"
Earth Is All That Lasts,Catherine Wells,352,,,FICTION_SCIENCE FICTION_GENERAL,FIC028000
Earthquake Weather,Tim Powers,576,,,"WEST (U.S.)_FICTION , FICTION_FANTASY_GENERAL , FICTION","FIC009000 , FIC000000"
Elements of Feng Shui,Man Ho Kwok and Joanne O'Brien,,,,,
Elvenbane,Andre Norton and Mercedes Lackey,,,,"FICTION_SCIENCE FICTION_GENERAL , FICTION_FANTASY_GENERAL","FIC028000 , FIC009000"
Elvendude,Mark Shepherd,320,,,FICTION_FANTASY_GENERAL,FIC009000
Embedded Software Primer,David E. Simon,448,,,"COMPUTER SOFTWARE , SOFTWARE ENGINEERING","COM000000 , COM051230"
Embers,Laura Bickle,368,,,"DETROIT (MICH.)_FICTION , FICTION_MYSTERY & DETECTIVE_GENERAL , FICTION_OCCULT & SUPERNATURAL","FIC022000 , FIC024000"
Emotional Intelligence : Why It Can Matter More Than IQ,Daniel Goleman,"xiv, 352",,,"EMOTIONS AND COGNITION , INTELLECT , SUCCESS_PSYCHOLOGICAL ASPECTS","PSY000000 , SEL027000 , PSY013000"
Empire of Unreason,Greg Keyes,416,,,FICTION_FANTASY_GENERAL,FIC009000
Empress,Karen Miller,752,,,"FICTION_FANTASY_EPIC , SLAVES_FICTION",FIC009020
Essential Ellison : A 50 Year Retrospective,Harlan Ellison,1250,,,"SCIENCE FICTION, AMERICAN",FIC028040
Ether Cosmic,Wilhelm Reich,,,,"LIFE (BIOLOGY) , ORGONOMY","SCI058000 , SCI008000"
Etheric Double,Arthur E. Powell,140,5.95,GBP,PSYCHOLOGY,PSY000000
Evil Ways,Justin Gustainis,336,,,"LOS ANGELES (CALIF.)_FICTION , IRAQ_FICTION , FICTION_FANTASY_GENERAL",FIC009000
Expiration Date,Tim Powers,,,,"LOS ANGELES (CALIF.)_FICTION , CALIFORNIA_FICTION , FICTION_FANTASY_GENERAL , FICTION_SCIENCE FICTION_GENERAL","FIC028000 , FIC009000"
Eye of the Daemon,Camille Bacon-Smith,336,,,"FICTION_SCIENCE FICTION_GENERAL , FICTION_FANTASY_GENERAL","FIC028000 , FIC009000"
Eyes of the Dragon,Stephen King,432,,,FICTION_HORROR,FIC015000
Eyes of the Empress,Camille Bacon-Smith,336,7.99,CND,FICTION_GENERAL,FIC000000
Faerie Tale,Raymond E. Feist,448,,,FICTION_FANTASY_GENERAL,FIC009000
Fair Game,Patricia Briggs,320,,,"SERIAL MURDERS_FICTION , FICTION_THRILLERS , FICTION_FANTASY_PARANORMAL","FIC009050 , FIC031000 , FIC050000"
Family Trade,Charles Stross,320,,,FICTION_FANTASY_GENERAL,FIC009000
Fated,Benedict Jacka,352,,,"FICTION , SCIENCE FICTION, FANTASY, HORROR","FIC028000 , FIC000000"
Fate Worse Than Dragons,John Moore,240,,,FICTION_FANTASY_GENERAL,FIC009000
Feng Shui for You and Your Cat,Alison Daniels,160,,,FENG SHUI,OCC037000
Feral Darkness,Doranna Durgin,352,,,FICTION_SCIENCE FICTION_GENERAL,FIC028000
Finch,Jeff VanderMeer,320,,,"FICTION_FANTASY_GENERAL , FICTION_CRIME","FIC009000 , FIC050000"
Fire Hand,Andre Norton and P. M. Griffin,224,,,"FICTION_SCIENCE FICTION_GENERAL , MURDOCH, ROSS (FICTITIOUS CHARACTER)_FICTION , ASHE, GORDON (FICTITIOUS CHARACTER)_FICTION , FOX, TRAVIS (FICTITIOUS CHARACTER)_FICTION , TREHERN, KERARA (FICTITIOUS CHARACTER)_FICTION",FIC028000
Firestorm,Rachel Caine,432,,,FICTION_FANTASY_GENERAL,FIC009000
First Men in the Moon,H. G. Wells,176,,,"FICTION_SCIENCE FICTION_ADVENTURE , INTERPLANETARY VOYAGES","FIC028010 , SCI098000"
Fistful of Charms,Kim Harrison,510,,,"VAMPIRES_FICTION , CINCINNATI (OHIO)_FICTION , FICTION_FANTASY_PARANORMAL","FIC009050 , FIC024000"
Five Odd Honors,Jane Lindskold,368,,,FICTION_FANTASY_GENERAL,FIC009000
Flash of Hex,Jes Battis,384,,,"FICTION_FANTASY_GENERAL , SERIAL MURDERS_FICTION , CRIME_FICTION","FIC009000 , FIC050000"
Flaxen Femme Fatale,John Zakour,352,,,FICTION_SCIENCE FICTION_GENERAL,FIC028000
Flip This Zombie,Jesse Petersen,272,,,FICTION_HORROR,FIC015000
Forerunner : His Parables and Poems,Kahlil Gibran,64,,,"MYSTICISM_POETRY , PARABLES","REL036000 , POE003000"
"Four-Fold Way : Walking the Paths of the Warrior, Teacher, Healer, and Visionary",Angeles Arrien and A. Arrien,224,,,"SPIRITUALITY , CONDUCT OF LIFE","SEL000000 , REL062000"
Fractal Paisleys,Paul Di Filippo,254,12.95,GBP,FICTION_SCIENCE FICTION_GENERAL,FIC028000
Fragile Things : Short Fictions and Wonders,Neil Gaiman,400,,,"FICTION_FANTASY_SHORT STORIES , FICTION_HORROR","FIC009040 , FIC015000"
From Eros to Gaia,Freeman J. Dyson,384,,,"ESSAYS (single author) , SCIENCE_MORAL AND ETHICAL ASPECTS , SCIENTISTS , PHYSICS , ASTRONOMY","SCI004000 , LCO010000 , SCI075000 , SCI055000 , BIO015000"
From Hell with Love,Simon R. Green,368,,,"FICTION_FANTASY_GENERAL , FICTION_ESPIONAGE","FIC006000 , FIC009000"
Frost-Haired Vixen,John Zakour,352,,,FICTION_SCIENCE FICTION_GENERAL,FIC028000
Fuller Memorandum,Charles Stross,384,,,"FICTION_GENERAL , GREAT BRITAIN_FICTION",FIC000000
Fulminate Blade,"Bill Willingham, Matthew Sturges, Tony Akins, Jim Fern and Andrew Pepoy",128,,,COMICS & GRAPHIC NOVELS_FANTASY,CGN004030
Futures from Nature,Henry Gee,320,,,FICTION_SCIENCE FICTION_GENERAL,FIC028000
