Title,Authors,#Pages,Price,Currency,Subjects,Bisac
Doing It at the Dixie Dew,Ruth Moose,256,,,"FICTION_MYSTERY & DETECTIVE_GENERAL , SOUTHERN STATES_FICTION",FIC022000
Dominion,C. J. Sansom,608,,,"FICTION_SUSPENSE , FICTION_ESPIONAGE , FICTION_ALTERNATIVE HISTORY , GREAT BRITAIN_FICTION , FICTION_POLITICAL , FICTION_HISTORICAL","FIC006000 , FIC037000 , FIC040000 , FIC014000 , FIC030000"
Don't Make Me Think! : A Common Sense Approach to Web Usability,Steve Krug,208,,,WEB SITES_DESIGN,COM060130
Doodle Revolution : Unlock the Power to Think Differently,Sunni Brown,256,,,"PROBLEM SOLVING , STRATEGIC PLANNING , VISUAL LITERACY","BUS063000 , LAN010000 , EDU008000"
Double Double,Cameron Herold,220,,,"ENTREPRENEURSHIP , BUSINESS ENTERPRISES_FINANCE , SUCCESS IN BUSINESS","BUS017000 , BUS107000 , BUS025000"
Double Helix : A Personal Account of the Discovery of the Structure of DNA,James D. Watson,208,,,"DNA , GENETICS",SCI029000
Dress Your Family in Corduroy and Denim,David Sedaris,272,,,HUMOR_TOPIC_RELATIONSHIPS,HUM012000
Driven to Distraction : Recognizing and Coping with Attention Deficit Disorder From,Edward M. Hallowell and John J. Ratey,319,,,"ATTENTION-DEFICIT HYPERACTIVITY DISORDER , ATTENTION-DEFICIT DISORDER IN ADULTS",PSY022010
Driven to Distraction : Recognizing and Coping with Attention Deficit Disorder from Childhood Through Adulthood,Edward M. Hallowell,,,,"ATTENTION-DEFICIT HYPERACTIVITY DISORDER , ATTENTION-DEFICIT DISORDER IN ADULTS",PSY022010
Drown,Junot Díaz,176,,,"FICTION_SHORT STORIES (single author) , DOMINICAN AMERICANS_FICTION","FIC029000 , FIC056000"
"Dublineses : Oscar Wilde, James Joyce, Samuel Beckett, Sinéad o'Connor, Edward Sabine, Bono, William Butler Yeats, John Millington Synge, Francis Bacon",,84,34.99,AUD,,
East of Eden,John Steinbeck,320,,,"AMERICAN FICTION (FICTIONAL WORKS BY ONE AUTHOR) , FATHERS AND SONS_FICTION , CALIFORNIA_FICTION",FIC019000
"Eating Dirt : Deep Forests, Big Timber, and Life with the Tree-Planting Tribe",Charlotte Gill,264,,,"TREE PLANTING , FORESTS AND FORESTRY_CANADA","GAR024000 , TEC003040"
"Eating Wildly : Foraging for Life, Love and the Perfect Meal",Ava Chin,256,,,"WILD PLANTS, EDIBLE , URBAN ECOLOGY (BIOLOGY) , BOTANY_UNITED STATES","SCI011000 , NAT010000 , NAT026000"
"Eat the City : A Tale of the Fishers, Foragers, Butchers, Farmers, Poultry Minders, Sugar Refiners, Cane Cutters, Beekeepers, Winemakers, and Brewers Who Built New York",Robin Shulman,352,,,NEW YORK (N.Y.)_SOCIAL CONDITIONS,SOC026030
E-Commerce User Experience,"Jakob Nielsen, Rolf Molich, Carolyn Snyder and Susan Farrell",416,500,USD,ELECTRONIC COMMERCE,BUS090000
"Elegant Universe : Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Brian Greene,"xiii, 448",,,COSMOGONY,SCI015000
Elements of Style,"Maira Kalman, William Strunk and E. B. White",176,,,"ENGLISH LANGUAGE_RHETORIC , ENGLISH LANGUAGE_STYLE , REPORT WRITING","LAN015000 , LAN028000 , REF026000"
Elements of Style: the Original Edition,William Strunk Jr.,52,6.95,USD,"REPORT WRITING , ENGLISH LANGUAGE_RHETORIC , ENGLISH LANGUAGE_STYLE","LAN015000 , LAN028000 , REF026000"
Emma,Jane Austen,432,,,"BRITISH AND IRISH FICTION (FICTIONAL WORKS BY ONE AUTHOR) , ENGLAND_FICTION , WOODHOUSE, EMMA (FICTITIOUS CHARACTER)_FICTION , YOUNG WOMEN_FICTION , GREAT BRITAIN_SOCIAL LIFE AND CUSTOMS_FICTION",FIC019000
Environmental and Engineering Geophysics,Prem V. Sharma,499,,,"ENGINEERING GEOLOGY , ENVIRONMENTAL GEOLOGY","TEC009150 , SCI026000"
Eon,Alison Goodman,448,15.99,AUD,"CHILDREN'S FICTION , FANTASY FICTION , DRAGONS_FICTION , MAGIC_FICTION , SEX ROLE_FICTION , APPRENTICES_FICTION","JUV006000 , JUV037000 , JUV039190 , JUV000000 , JUV002270"
Europe Central,William T. Vollmann,832,58,CND,"EUROPE_FICTION , FICTION_GENERAL , GERMANY_FICTION , SOVIET UNION_FICTION",FIC000000
Everything Store : Jeff Bezos and the Age of Amazon,Brad Stone,384,,,"AMAZON.COM (FIRM) , SUCCESS IN BUSINESS , ENTREPRENEURSHIP , BUSINESSPEOPLE_BIOGRAPHY","BUS107000 , BIO003000 , BUS025000 , BUS090000"
Everything under the Sun : Towards a Brighter Future on a Small Blue Planet,David Suzuki and Ian Hanington,284,29.99,AUD,"ENVIRONMENTAL STUDIES , CURRENT AFFAIRS","SOC000000 , SCI026000"
Evil Geniuses in a Nutshell,Illiad,,22.2,USD,COMPUTER GAMES,GAM013000
Exclusively Yours,Shannon Stacey,,,,"FICTION , FICTION_ROMANCE_GENERAL","FIC027000 , FIC000000"
Experience Economy : Work Is Theatre and Every Business a Stage,B. Joseph Pine and James H. Gilmore,272,,,"CUSTOMER SERVICES , PRODUCTION MANAGEMENT , DIVERSIFICATION IN INDUSTRY","BUS018000 , BUS087000 , BUS070000"
